,SPY,VOO,QQQ,VTI,VXUS,VEA,VWO,VYM,VIG,VTV,VUG,VOE,VBK
SPY,1,0.999834,0.9712379,0.9954426,-0.4111297,-0.3932471,-0.1880659,0.9799116,0.9612807,0.9851449,0.9888057,0.98234,0.839131
VOO,0.999834,1,0.9716124,0.9953683,-0.4109145,-0.3936285,-0.1862558,0.9802552,0.9606139,0.9851359,0.988875,0.9818132,0.8387298
QQQ,0.9712379,0.9716124,1,0.957874,-0.5260957,-0.5276203,-0.2304817,0.9331195,0.8876054,0.9310188,0.9786317,0.9287875,0.7663383
VTI,0.9954426,0.9953683,0.957874,1,-0.3667085,-0.3398124,-0.1745294,0.9663554,0.9628358,0.9790537,0.9898956,0.9921759,0.8852124
VXUS,-0.4111297,-0.4109145,-0.5260957,-0.3667085,1,0.9792796,0.8011146,-0.3649131,-0.4038345,-0.3432368,-0.4338017,-0.3203812,-0.1067394
VEA,-0.3932471,-0.3936285,-0.5276203,-0.3398124,0.9792796,1,0.6748722,-0.3627901,-0.3470642,-0.3332637,-0.4077316,-0.2820788,-0.04031525
VWO,-0.1880659,-0.1862558,-0.2304817,-0.1745294,0.8011146,0.6748722,1,-0.1176544,-0.2978514,-0.1231414,-0.222426,-0.1705867,-0.09241266
VYM,0.9799116,0.9802552,0.9331195,0.9663554,-0.3649131,-0.3627901,-0.1176544,1,0.9509121,0.9891661,0.9456015,0.9537515,0.7701423
VIG,0.9612807,0.9606139,0.8876054,0.9628358,-0.4038345,-0.3470642,-0.2978514,0.9509121,1,0.9587884,0.940608,0.9655969,0.8399816
VTV,0.9851449,0.9851359,0.9310188,0.9790537,-0.3432368,-0.3332637,-0.1231414,0.9891661,0.9587884,1,0.9513306,0.9677322,0.8118755
VUG,0.9888057,0.988875,0.9786317,0.9898956,-0.4338017,-0.4077316,-0.222426,0.9456015,0.940608,0.9513306,1,0.975805,0.8614549
VOE,0.98234,0.9818132,0.9287875,0.9921759,-0.3203812,-0.2820788,-0.1705867,0.9537515,0.9655969,0.9677322,0.975805,1,0.9052179
VBK,0.839131,0.8387298,0.7663383,0.8852124,-0.1067394,-0.04031525,-0.09241266,0.7701423,0.8399816,0.8118755,0.8614549,0.9052179,1